date,session,number,bill,question,result,description,yeatotal,naytotal 
2012-09-19,2,193,S. 3457,On the Motion S.Amdt. 2789,Rejected,Motion to Waive All Applicable Budgetary Discipline Re: Amdt. No. 2789; In the nature of a substitute.,58,40 
2012-09-19,2,194,H.J.Res. 117,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to H.J.Res. 117; A joint resolution making continuing appropriations for fiscal year 2013, and for other purposes.",76,22 
2012-09-20,2,195,H.J.Res. 117,On the Motion to Proceed,Agreed to,"Motion to Proceed to H.J. Res. 117; A joint resolution making continuing appropriations for fiscal year 2013, and for other purposes.",67,31 
2012-09-22,2,196,S. 3576,On Passage of the Bill,Rejected,"S. 3576; A bill to provide limitations on United States assistance, and for other purposes.",10,81 
2012-09-22,2,197,S.J.Res. 41,On the Joint Resolution,Agreed to,S.J.Res. 41; A joint resolution expressing the sense of Congress regarding the nuclear program of the Government of the Islamic Republic of Iran.,90,1 
2012-09-22,2,198,H.J.Res. 117,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on H.J.Res. 117; A joint resolution making continuing appropriations for fiscal year 2013, and for other purposes.",62,30 
2012-09-22,2,199,H.J.Res. 117,On the Joint Resolution,Agreed to,"H.J.Res. 117; A joint resolution making continuing appropriations for fiscal year 2013, and for other purposes.",62,30 
2012-09-22,2,200,S. 3525,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 3525; A bill to protect and enhance opportunities for recreational hunting, fishing, and shooting, and for other purposes.",84,7 
2012-11-13,2,201,S. 3525,On the Motion to Proceed,Agreed to,"Motion to Proceed to S.3525; A bill to protect and enhance opportunities for recreational hunting, fishing, and shooting, and for other purposes.",92,5 
2012-11-14,2,202,S. 3414,On the Cloture Motion,Rejected,Upon Reconsideration Motion to Invoke Cloture on S.3414; A bill to enhance the security and resiliency of the cyber and communications infrastructure of the United States.,51,47 
2012-11-15,2,203,S. 3525,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S.3525; A bill to protect and enhance opportunities for recreational hunting, fishing, and shooting, and for other purposes.",84,12 
2012-11-26,2,204,S. 3525,On the Motion S.Amdt. 2875,Rejected,Motion to Waive all Applicable Budgetary Discipline Re: Amdt. No. 2875; In the nature of a substitute.,50,44 
2012-11-27,2,205,Treaty Doc. 112-7,On the Motion to Proceed,Agreed to,"Motion to Proceed to Executive Session to Consider Treaty Doc. 112-7; The Convention on the Rights of Persons with Disabilities, adopted by the United Nations General Assembly on December 13, 2006, and signed by the United States of America on June 30, 2009 (the ""Convention"")",61,36 
2012-11-28,2,206,S. 3254,On the Amendment S.Amdt. 2985,Agreed to,"Udall (CO) Amdt. No. 2985; To strike section 313, relating to a limitation on the availability of funds for the procurement of alternative fuel.",62,37 
2012-11-28,2,207,S. 3254,On the Amendment S.Amdt. 2955,Agreed to,Leahy Amdt. No. 2955; To improve the Public Safety Officers' Benefits Program.,85,11 
2012-11-29,2,208,S. 3254,On the Amendment S.Amdt. 3158,Agreed to,Cornyn Amdt. No. 3158; To require the Secretary of Veterans Affairs to submit to Congress a plan to reduce the current backlog of veterans claims.,95,0 
2012-11-29,2,209,S. 3254,On the Amendment S.Amdt. 3095,Agreed to,Hagan Amdt. No. 3095; To strike the prohibition on biofuel refinery construction.,54,41 
2012-11-29,2,210,S. 3254,On the Amendment S.Amdt. 3096,Agreed to,Merkley Amdt. No. 3096 as Modified; To express the sense of Congress on the accelerated transition of United States combat and military and security operations to the Government of Afghanistan.,62,33 
2012-11-29,2,211,S. 3254,On the Amendment S.Amdt. 3058,Agreed to,Gillibrand Amdt. No. 3058 as Modified; To provide for certain treatment of autism under the TRICARE program.,66,29 
2012-11-29,2,212,S. 3254,On the Amendment S.Amdt. 3245,Agreed to,"Ayotte Amdt. No. 3245; To prohibit the use of funds for the transfer or release of certain individuals from United States Naval Station, Guantanamo Bay, Cuba.",54,41 
2012-11-29,2,213,S. 3254,On the Amendment S.Amdt. 3018,Agreed to,"Feinstein Amdt. No. 3018; To clarify that an authorization to use military force, a declaration of war, or any similar authority shall not authorize the detention without charge or trial of a citizen or lawful permanent resident of the United States.",67,29 
2012-11-30,2,214,S. 3254,On the Amendment S.Amdt. 3025,Rejected,Cardin Amdt. No. 3025; To ensure sufficient sizing of the civilian and contract services workforces of the Department of Defense.,41,53 
2012-11-30,2,215,S. 3254,On the Amendment S.Amdt. 3232,Agreed to,Menendez Amdt. No. 3232; To enhance sanctions imposed with respect to Iran.,94,0 
2012-11-30,2,216,S. 3254,On the Motion S.Amdt. 3073,Rejected,Motion to Waive Sec. 302(f) of the CBA; To repeal the requirement for reduction of survivor annuities under the Survivor Benefit Plan by veterans' dependency and indemnity compensation.,58,34 
2012-12-03,2,217,PN1381,On the Nomination,Confirmed,"Confirmation Paul William Grimm, of MD, to be U.S. District Judge",92,1 
2012-12-03,2,218,S. 3254,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S.3254; An original bill to authorize appropriations for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",93,0 
2012-12-04,2,219,Treaty Doc. 112-7,On the Resolution of Ratification,Rejected,"Resolution of Ratification Treaty Doc. 112-7; The Convention on the Rights of Persons with Disabilities, adopted by the United Nations General Assembly on December 13, 2006, and signed by the United States of America on June 30, 2009 (the ""Convention"")",61,38 
2012-12-04,2,220,S. 3254,On the Amendment S.Amdt. 3262,Agreed to,"McCain Amdt. No. 3262, As Modified; To require a report on military activities to deny or significantly degrade the use of air power against civilian and opposition groups in Syria.",92,6 
2012-12-04,2,221,S. 3254,On Passage of the Bill,Passed,"S. 3254 As Amended; An original bill to authorize appropriations for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",98,0 
2012-12-05,2,222,PN1341,On the Nomination,Confirmed,"Confirmation Michael P. Shea, of Connecticut, to be U.S. District Judge",72,23 
2012-12-06,2,223,H.R. 6156,On Passage of the Bill,Passed,"H. R. 6156; A bill to authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to products of the Russian Federation and Moldova and to require reports on the compliance of the Russian Federation with its obligations as a member of the World Trade Organization, and for other purposes.",92,4 
2012-12-06,2,224,PN1383,On the Nomination,Confirmed,"Confirmation Mark E. Walker, of Florida, to be U.S. District Judge for the Northern District of Florida",94,0 
2012-12-11,2,225,S. 3637,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 3637; A bill to temporarily extend the transaction account guarantee program, and for other purposes.",76,20 
2012-12-11,2,226,PN1405,On the Nomination,Confirmed,"Confirmation John E. Dowdell, of Oklahoma, to be U.S. District Judge",95,0 
2012-12-13,2,227,S. 3637,On the Motion,Rejected,"Motion to Waive All Applicable Budgetary Discipline Re: S.3637; A bill to temporarily extend the transaction account guarantee program, and for other purposes.",50,42 
2012-12-13,2,228,PN1556,On the Nomination,Confirmed,"Confirmation Lorna G. Schofield, of New York, to be U.S. District Judge",91,0 
2012-12-21,2,229,H.R. 4310,On the Conference Report,Agreed to,"Conference Report to Accompany H. R. 4310; To authorize appropriations for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",81,14 
2012-12-21,2,230,H.R. 1,On the Cloture Motion S.Amdt. 3395,Agreed to,Motion to Invoke Cloture on the Reid Amdt. No. 3395; In the nature of a substitute.,91,1 
2012-12-21,2,231,H.R. 1,On the Motion S.Amdt. 3395,Rejected,Motion to Waive Sec. 314(e)(1) of the Congressional Budget Act; In the nature of a substitute.,57,34 
2012-12-27,2,232,H.R. 5949,On the Amendment S.Amdt. 3437,Rejected,Leahy Amdt. No. 3437; In the nature of a substitute.,38,52 
2012-12-27,2,233,H.R. 5949,On the Amendment S.Amdt. 3435,Rejected,"Merkley Amdt. No. 3435; To require the Attorney General to disclose each decision, order, or opinion of a Foreign Intelligence Surveillance Court that includes significant legal interpretation of section 501 or 702 of the Foreign Intelligence Surveillance Act of 1978 unless such disclosure is not in the national security interest of the United States.",37,54 
2012-12-27,2,234,H.R. 5949,On the Amendment S.Amdt. 3436,Rejected,Paul Amdt. No. 3436; To ensure adequate protection of the rights under the Fourth Amendment to the Constitution of the United States.,12,79 
2012-12-28,2,235,H.R. 5949,On the Amendment S.Amdt. 3439,Rejected,Wyden Amdt. No. 3439; To require a report on the impact of the FISA Amendments Act of 2008 on the privacy of the people of the United States.,43,52 
2012-12-28,2,236,H.R. 5949,On Passage of the Bill,Passed,H.R. 5949; A bill to extend the FISA Amendments Act of 2008 for five years.,73,23 
2012-12-28,2,237,H.R. 1,On the Amendment S.Amdt. 3344,Rejected,Bingaman Amdt. No. 3344; To provide for the approval of an agreement between the United States and the Republic of Palau in response to Super Typhoon Bopha.,52,43 
2012-12-28,2,238,H.R. 1,On the Motion S.Amdt. 3350,Rejected,Motion to Waive All Applicable Budgetary Discipline Re: Tester Amdt. No. 3350; To provide additional funds for wildland fire management.,51,44 
2012-12-28,2,239,H.R. 1,On the Amendment S.Amdt. 3368,Rejected,Coburn Amdt. No. 3368; To clarify cost-sharing requirements for certain Corps of Engineers activities.,44,51 
2012-12-28,2,240,H.R. 1,On the Amendment S.Amdt. 3370,Rejected,"Coburn Amdt. No. 3370, Div II; To ensure funding for victims of Hurricane Sandy is not spent on tax cheats, deceased individuals, or fisheries outside of the affected area.",35,60 
2012-12-28,2,241,H.R. 1,On the Amendment S.Amdt. 3371,Rejected,"Coburn Amdt. No. 3371; To ensure that Federal disaster assistance is available for the most severe disasters, and for other purposes.",40,55 
2012-12-28,2,242,H.R. 1,On the Amendment S.Amdt. 3382,Rejected,Coburn Amdt. No. 3382; To require merit-based and competitive awards of disaster recovery contracts.,48,47 
2012-12-28,2,243,H.R. 1,On the Amendment S.Amdt. 3376,Rejected,Paul Amdt. No. 3376; To provide for the nonapplication of the Davis-Bacon Act in the case of projects funded under this Act.,42,52 
2012-12-28,2,244,H.R. 1,On the Amendment S.Amdt. 3410,Rejected,Paul Amdt. No. 3410; To offset the cost of the bill and to put the spending on budget as regular spending and not emergency.,3,91 
2012-12-28,2,245,H.R. 1,On the Amendment S.Amdt. 3355,Rejected,McCain Amdt. No. 3355; To strike funding for the emergency forest restoration program.,46,49 
2012-12-28,2,246,H.R. 1,On the Motion S.Amdt. 3367,Rejected,"Motion to Waive All Applicable Budgetary Discipline Re: Merkley Amdt. No. 3367, as Modified Further; To extend certain supplemental agriculture disaster assistance programs.",55,40 
2012-12-28,2,247,H.R. 1,On the Amendment S.Amdt. 3391,Rejected,Coats Amdt. No. 3391; In the nature of a substitute.,41,54 
2012-12-28,2,248,H.R. 1,On Passage of the Bill,Passed,"H.R. 1 as Amended; An act making appropriations for disaster relief for the fiscal year ending September 30, 2013, and for other purposes.",62,32 
2012-12-30,2,249,PN1354,On the Nomination,Confirmed,"Confirmation William Joseph Baer, of Maryland, to be an Assistant Attorney General",64,26 
2012-12-30,2,250,PN1064,On the Nomination,Confirmed,"Confirmation Carol J. Galante, of California, to be an Assistant Seceretary of Housing and Urban Development",69,24 
2013-01-01,2,251,H.R. 8,On Passage of the Bill,Passed,"H.R. 8, As Amended; An act entitled the ""American Taxpayer Relief Act of 2012"".",89,8
