;A;B;C
R4297;0;1;1
R4298;1;0;1
R4299;1;1;1
R4300;1;0;0
R4301;1;1;0
R4302;1;1;0
R4303;0;0;0
R4304;1;1;1
R4305;1;0;1
R4306;0;0;1
R4307;1;1;0
R4308;1;0;0
R4309;0;1;1
R4310;0;0;0
R4311;0;1;1
R4312;1;1;0
R4313;1;0;0
R4314;0;1;0
R4315;1;0;0
R4316;1;1;1
R4317;1;1;0
R4318;0;1;1
R4319;0;1;0
R4320;1;1;0
R4321;0;1;1
R4322;0;0;0
R4323;1;0;0
R4324;0;0;1
R4325;0;0;1
R4326;0;1;1
R4327;0;1;1
R4328;0;0;0
R4329;1;0;0
R4330;0;0;1
R4331;1;1;1
R4332;0;1;1
R4333;0;1;0
R4334;0;1;1
R4335;1;1;0
R4336;1;1;0
R4337;0;1;1
R4338;0;0;1
R4339;0;0;0
R4340;0;1;0
R4341;1;1;0
R4342;1;1;1
R4343;0;0;1
R4344;1;0;0
R4345;1;0;1
R4346;0;0;1
R4347;0;1;0
R4348;1;0;0
R4349;0;1;1
R4350;1;1;0
R4351;0;1;0
R4352;0;1;1
R4353;1;1;1
R4354;0;0;1
R4355;1;1;1
R4356;1;0;1
R4357;0;1;0
R4358;1;0;1
R4359;0;1;0
R4360;1;0;1
R4361;0;1;0
R4362;1;0;1
R4363;0;0;0
R4364;0;0;1
R4365;0;1;1
R4366;0;1;1
R4367;0;0;1
R4368;1;1;0
R4369;1;0;0
R4370;0;1;1
R4371;0;0;1
R4372;0;1;0
R4373;0;0;1
R4374;0;0;0
R4375;0;0;1
R4376;0;1;1
R4377;1;0;1
R4378;1;1;0
R4379;1;1;1
R4380;1;0;1
R4381;0;1;0
R4382;0;1;0
R4383;0;0;0
R4384;1;1;0
R4385;0;1;1
R4386;1;1;1
R4387;1;1;1
R4388;0;1;0
R4389;1;0;0
R4390;1;0;1
R4391;0;1;1
R4392;1;1;1
R4393;1;1;0
R4394;0;1;0
R4395;0;0;0
R4396;1;0;0
R4397;0;1;1
R4398;0;1;0
R4399;0;1;0
R4400;1;1;0
R4401;1;0;1
R4402;1;1;1
R4403;0;1;1
R4404;1;1;0
R4405;1;0;0
R4406;1;1;0
R4407;1;1;0
R4408;0;1;0
R4409;0;1;1
R4410;0;1;1
R4411;0;1;1
R4412;0;0;1
R4413;0;0;0
R4414;1;1;0
R4415;1;1;0
R4416;1;0;0
R4417;1;1;0
R4418;1;1;1
R4419;0;1;0
R4420;0;1;1
R4421;0;0;1
R4422;0;1;0
R4423;0;1;0
R4424;0;1;0
R4425;1;0;0
R4426;0;1;1
R4427;0;1;0
R4428;0;1;0
R4429;0;0;1
R4430;1;1;1
R4431;0;1;1
R4432;1;1;1
R4433;0;1;1
R4434;1;0;0
R4435;1;0;1
R4436;1;1;1
R4437;0;1;1
R4438;0;1;0
R4439;0;0;1
R4440;0;0;0
R4441;0;1;0
R4442;1;0;1
R4443;0;0;0
R4444;1;1;0
R4445;1;1;1
R4446;0;0;0
R4447;0;1;1
R4448;0;1;0
R4449;1;0;0
R4450;0;1;0
R4451;0;1;1
R4452;0;0;1
R4453;1;0;0
R4454;1;0;0
R4455;1;0;1
R4456;1;1;1
R4457;1;1;1
R4458;1;0;0
R4459;1;1;0
R4460;0;0;1
R4461;0;1;1
R4462;0;1;1
R4463;0;1;0
R4464;0;0;0
R4465;1;1;0
R4466;1;0;0
R4467;0;0;1
R4468;0;0;1
R4469;1;1;0
R4470;1;0;1
R4471;0;1;0
R4472;0;1;0
R4473;0;0;0
R4474;1;0;1
R4475;1;0;1
R4476;0;0;0
R4477;0;0;1
R4478;0;0;0
R4479;0;0;0
R4480;0;0;0
R4481;1;0;0
R4482;0;1;0
R4483;0;1;1
R4484;0;1;1
R4485;1;1;0
R4486;0;1;1
R4487;0;0;1
R4488;1;1;1
R4489;1;1;1
R4490;0;0;1
R4491;1;1;1
R4492;1;1;0
R4493;0;1;1
R4494;1;1;1
R4495;0;1;0
R4496;0;0;1
R4497;0;1;1
R4498;0;1;0
R4499;0;1;1
R4500;0;1;0
R4501;0;0;1
R4502;1;0;1
R4503;0;0;0
R4504;1;1;0
R4505;1;0;0
R4506;0;0;1
R4507;1;0;1
R4508;1;1;0
R4509;1;1;0
R4510;1;0;1
R4511;0;0;0
R4512;0;0;0
R4513;0;1;1
R4514;1;1;0
R4515;1;1;0
R4516;0;0;0
R4517;1;1;1
R4518;1;1;1
R4519;1;1;0
R4520;0;0;1
R4521;1;0;0
R4522;1;1;1
R4523;1;1;1
R4524;0;1;0
R4525;0;0;1
R4526;0;1;0
R4527;0;0;1
R4528;1;1;0
R4529;0;1;1
R4530;1;0;0
R4531;0;0;1
R4532;0;0;0
R4533;1;0;0
R4534;0;0;1
R4535;1;1;1
R4536;0;1;1
R4537;1;1;1
R4538;1;1;0
R4539;0;0;0
R4540;0;1;1
R4541;0;1;0
R4542;0;1;1
R4543;1;1;0
R4544;0;1;0
R4545;1;1;1
R4546;0;0;0
R4547;0;1;0
R4548;0;0;1
R4549;0;0;0
R4550;0;1;0
R4551;0;1;0
R4552;1;0;1
R4553;1;0;0
R4554;0;1;0
R4555;1;0;1
R4556;0;0;1
R4557;1;0;1
R4558;0;1;1
R4559;1;1;0
R4560;1;0;0
R4561;1;1;1
R4562;0;0;1
R4563;0;0;1
R4564;0;0;0
R4565;0;0;0
R4566;0;0;0
R4567;1;1;0
R4568;0;0;0
R4569;1;1;0
R4570;1;0;0
R4571;1;1;0
R4572;0;1;0
R4573;0;1;1
R4574;0;0;0
R4575;0;0;0
R4576;1;1;1
R4577;1;0;1
R4578;1;0;1
R4579;0;1;0
R4580;1;0;0
R4581;1;1;1
R4582;1;0;1
R4583;1;1;1
R4584;0;0;0
R4585;0;0;0
R4586;1;1;0
R4587;0;0;1
R4588;1;1;1
R4589;0;0;1
R4590;0;0;1
R4591;1;1;0
R4592;1;1;1
R4593;0;0;0
R4594;0;0;0
R4595;0;0;0
R4596;1;1;1
R4597;1;0;0
R4598;0;1;0
R4599;0;1;0
R4600;0;0;1
R4601;0;0;1
R4602;1;0;0
R4603;0;0;0
R4604;0;0;0
R4605;0;0;1
R4606;1;1;1
R4607;0;1;1
R4608;1;1;1
R4609;0;1;0
R4610;1;1;0
R4611;1;0;1
R4612;1;1;0
R4613;0;0;1
R4614;0;0;1
R4615;0;1;1
R4616;0;0;1
R4617;0;1;1
R4618;0;0;0
R4619;0;1;1
R4620;0;0;1
R4621;1;0;1
R4622;1;0;0
R4623;0;0;1
R4624;0;1;0
R4625;0;1;0
R4626;0;0;1
R4627;1;0;1
R4628;1;1;1
R4629;0;0;0
R4630;1;1;1
R4631;0;0;0
R4632;1;1;1
R4633;1;0;0
R4634;1;0;1
R4635;1;1;1
R4636;1;0;1
R4637;0;1;1
R4638;0;1;1
R4639;0;0;0
R4640;1;1;0
R4641;1;0;1
R4642;0;1;0
R4643;0;0;1
R4644;1;0;1
R4645;0;1;1
R4646;0;0;0
R4647;0;0;0
R4648;1;1;1
R4649;1;0;0
R4650;0;1;0
R4651;0;1;0
R4652;1;1;0
R4653;0;0;0
R4654;0;0;0
R4655;1;0;0
R4656;0;1;1
R4657;1;1;0
R4658;1;1;1
R4659;0;1;0
R4660;0;1;0
R4661;1;0;1
R4662;0;1;1
R4663;1;0;0
R4664;0;0;1
R4665;1;1;0
R4666;0;0;0
R4667;1;1;1
R4668;0;0;0
R4669;0;1;1
R4670;0;0;0
R4671;1;1;0
R4672;1;1;1
R4673;0;0;0
R4674;1;0;1
R4675;1;1;0
R4676;1;1;1
R4677;0;0;1
R4678;1;0;1
R4679;1;0;1
R4680;0;1;0
R4681;0;1;0
R4682;1;0;0
R4683;1;0;0
R4684;1;0;1
R4685;1;1;0
R4686;0;1;0
R4687;0;0;0
R4688;1;0;0
R4689;0;0;1
R4690;0;1;0
R4691;1;0;1
R4692;1;1;1
R4693;1;0;0
R4694;0;0;1
R4695;1;0;0
R4696;0;1;1
R4697;1;0;0
R4698;1;0;0
R4699;0;0;1
R4700;0;0;1
R4701;1;1;0
R4702;0;0;1
R4703;0;1;1
R4704;0;1;0
R4705;1;1;1
R4706;0;1;1
R4707;0;1;0
R4708;0;1;0
R4709;1;1;0
R4710;1;0;1
R4711;0;0;0
R4712;0;1;1
R4713;0;0;1
R4714;0;1;0
R4715;0;0;0
R4716;0;0;0
R4717;1;1;0
R4718;0;0;0
R4719;1;0;1
R4720;1;0;0
R4721;0;1;1
R4722;0;0;0
R4723;0;1;0
R4724;0;1;1
R4725;1;1;0
R4726;1;0;1
R4727;0;1;0
R4728;0;0;0
R4729;1;1;1
R4730;1;0;0
R4731;1;0;0
R4732;1;0;1
R4733;1;1;1
R4734;0;0;1
R4735;1;0;0
R4736;1;0;0
R4737;0;1;1
R4738;1;1;0
R4739;0;1;1
R4740;0;1;0
R4741;0;1;0
R4742;1;0;0
R4743;0;1;1
R4744;0;0;0
R4745;1;0;0
R4746;0;1;1
R4747;1;0;0
R4748;0;1;1
R4749;0;1;1
R4750;0;1;1
R4751;1;1;0
R4752;1;1;1
R4753;0;0;0
R4754;1;1;0
R4755;1;1;1
R4756;1;1;0
R4757;1;0;1
R4758;0;0;1
R4759;0;1;1
R4760;0;0;0
R4761;0;1;0
R4762;0;0;1
R4763;0;1;0
R4764;0;0;0
R4765;0;0;1
R4766;1;1;0
R4767;1;1;1
R4768;0;0;0
R4769;1;1;0
R4770;0;1;0
R4771;0;1;1
R4772;1;1;1
R4773;1;1;0
R4774;0;1;0
R4775;0;1;1
R4776;0;0;1
R4777;1;0;0
R4778;1;0;1
R4779;0;0;1
R4780;0;0;0
R4781;1;0;1
R4782;0;0;0
R4783;0;1;1
R4784;0;0;1
R4785;0;1;0
R4786;0;0;0
R4787;0;1;0
R4788;0;0;0
R4789;0;1;0
R4790;0;1;1
R4791;1;0;1
R4792;1;1;0
R4793;0;1;1
R4794;1;1;1
R4795;1;1;0
R4796;0;1;1
R4797;0;1;1
R4798;1;0;1
R4799;1;1;0
R4800;1;0;0
R4801;1;1;0
R4802;1;1;1
R4803;1;1;0
R4804;0;1;1
R4805;0;0;0
R4806;0;1;1
R4807;0;0;1
R4808;1;1;0
R4809;0;0;1
R4810;1;0;0
R4811;0;1;0
R4812;1;0;1
R4813;0;0;1
R4814;0;1;1
R4815;0;0;0
R4816;0;0;1
R4817;0;0;0
R4818;0;0;1
R4819;0;1;0
R4820;1;1;0
R4821;1;1;0
R4822;0;1;1
R4823;1;0;1
R4824;1;0;0
R4825;1;0;0
R4826;0;0;0
R4827;0;1;1
R4828;0;0;0
R4829;1;1;1
R4830;0;1;0
R4831;0;0;1
R4832;0;1;0
R4833;1;0;1
R4834;1;1;1
R4835;1;1;1
R4836;0;1;0
R4837;0;1;1
R4838;0;1;1
R4839;0;0;0
R4840;0;1;0
R4841;1;0;0
R4842;0;1;1
R4843;0;1;1
R4844;1;0;1
R4845;1;1;1
R4846;0;0;0
R4847;0;1;1
R4848;0;1;1
R4849;1;0;1
R4850;1;0;1
R4851;0;1;0
R4852;0;1;0
R4853;1;1;0
R4854;1;0;1
R4855;0;0;1
R4856;1;0;1
R4857;0;0;1
R4858;0;1;0
R4859;1;0;0
R4860;1;0;1
R4861;1;1;1
R4862;1;1;1
R4863;0;1;1
R4864;0;0;1
R4865;1;1;1
R4866;0;0;1
R4867;1;1;1
R4868;1;0;1
R4869;0;0;0
R4870;1;1;1
R4871;1;1;0
R4872;1;0;0
R4873;0;1;1
R4874;0;1;0
R4875;1;1;0
R4876;1;0;0
R4877;0;1;0
R4878;0;0;1
R4879;1;1;1
R4880;1;1;0
R4881;0;1;0
R4882;1;1;1
R4883;1;1;0
R4884;1;1;1
R4885;1;1;0
R4886;1;1;1
R4887;0;1;0
R4888;1;1;0
R4889;0;1;0
R4890;0;0;1
R4891;1;1;1
R4892;0;0;1
R4893;1;0;1
R4894;0;1;1
R4895;0;1;1
R4896;1;1;0
R4897;0;0;1
R4898;0;0;0
R4899;0;1;0
R4900;0;0;1
R4901;1;1;0
R4902;0;1;0
R4903;0;0;0
R4904;1;0;1
R4905;0;0;0
R4906;0;1;0
R4907;0;0;1
R4908;1;0;0
R4909;0;0;0
R4910;0;0;1
R4911;1;0;1
R4912;0;1;0
R4913;0;1;0
R4914;1;0;0
R4915;0;0;1
R4916;1;0;1
R4917;1;1;1
R4918;1;0;0
R4919;0;0;0
R4920;0;1;0
R4921;1;1;1
R4922;1;0;1
R4923;0;0;0
R4924;1;1;1
R4925;0;0;1
R4926;1;1;1
R4927;1;0;0
R4928;0;0;0
R4929;1;1;0
R4930;0;0;0
R4931;0;0;0
R4932;1;0;0
R4933;0;1;0
R4934;1;1;0
R4935;0;0;1
R4936;1;0;0
R4937;1;0;1
R4938;1;1;1
R4939;1;0;1
R4940;0;1;1
R4941;1;0;0
R4942;1;1;0
R4943;0;0;0
R4944;0;0;1
R4945;0;1;0
R4946;1;1;0
R4947;1;1;1
R4948;0;1;0
R4949;0;1;0
R4950;0;0;1
R4951;0;0;1
R4952;0;1;0
R4953;0;0;1
R4954;0;0;0
R4955;0;0;1
R4956;0;1;1
R4957;0;1;1
R4958;1;1;1
R4959;0;1;1
R4960;1;0;0
R4961;1;1;0
R4962;1;1;1
R4963;0;0;0
R4964;0;0;0
R4965;0;0;0
R4966;1;1;0
R4967;0;1;1
R4968;0;1;0
R4969;1;1;1
R4970;1;0;0
R4971;0;1;0
R4972;0;0;0
R4973;0;1;1
R4974;1;1;0
R4975;1;0;0
R4976;1;1;1
R4977;0;1;0
R4978;0;1;1
R4979;1;0;0
R4980;1;1;1
R4981;1;0;1
R4982;0;0;1
R4983;1;0;1
R4984;1;0;0
R4985;1;0;0
R4986;0;1;1
R4987;1;0;0
R4988;1;1;0
R4989;0;0;1
R4990;0;1;1
R4991;1;1;0
R4992;0;1;1
R4993;1;1;1
R4994;0;0;0
R4995;0;0;0
R4996;0;0;0
R4997;1;0;1
R4998;1;1;1
R4999;0;1;0
R5000;0;1;0
R5001;0;1;0
R5002;0;0;0
R5003;1;1;1
R5004;1;0;1
R5005;1;0;1
R5006;1;0;1
R5007;1;0;1
R5008;1;0;1
R5009;1;0;1
R5010;1;0;1
R5011;1;1;1
R5012;0;0;0
R5013;1;0;1
R5014;1;0;0
R5015;0;1;1
R5016;0;0;1
R5017;1;1;0
R5018;1;1;1
R5019;0;0;1
R5020;0;1;0
R5021;1;0;1
R5022;1;1;0
R5023;0;0;0
R5024;1;1;0
R5025;0;0;0
R5026;0;0;0
R5027;1;1;0
R5028;1;0;1
R5029;1;1;0
R5030;1;1;1
R5031;0;0;0
R5032;0;1;0
R5033;0;0;0
R5034;0;0;0
R5035;0;0;1
R5036;1;1;1
R5037;1;0;0
R5038;0;0;0
R5039;1;1;1
R5040;1;0;1
R5041;1;0;0
R5042;0;1;0
R5043;0;1;0
R5044;0;0;0
R5045;1;1;1
R5046;0;0;0
R5047;1;1;0
R5048;1;0;0
R5049;1;1;0
R5050;1;1;0
R5051;1;1;0
R5052;1;0;1
R5053;1;1;0
R5054;1;0;0
R5055;0;0;0
R5056;1;1;1
R5057;0;0;1
R5058;0;1;1
R5059;1;1;1
R5060;0;0;1
R5061;1;1;0
R5062;0;0;0
R5063;1;1;1
R5064;1;1;0
R5065;1;0;0
R5066;0;1;1
R5067;1;1;0
R5068;0;0;0
R5069;1;0;0
R5070;1;0;0
R5071;0;1;0
R5072;0;0;0
R5073;0;0;0
R5074;0;1;1
R5075;1;0;1
R5076;0;1;0
R5077;0;1;0
R5078;1;0;1
R5079;1;1;0
R5080;0;1;0
R5081;0;1;0
R5082;1;1;0
R5083;0;1;1
R5084;0;0;0
R5085;1;1;1
R5086;0;1;1
R5087;1;1;1
R5088;0;0;1
R5089;0;1;0
R5090;1;1;1
R5091;1;1;0
R5092;0;1;1
R5093;1;1;1
R5094;0;1;0
R5095;0;0;0
R5096;0;1;1
R5097;1;0;0
R5098;0;0;0
R5099;1;0;0
R5100;0;0;0
R5101;1;0;1
R5102;1;0;1
R5103;1;1;1
R5104;1;1;1
R5105;0;1;0
R5106;0;0;0
R5107;1;0;1
R5108;1;0;0
R5109;1;0;0
R5110;1;0;1
R5111;1;0;1
R5112;0;1;0
R5113;1;0;0
R5114;1;1;0
R5115;1;1;1
R5116;1;1;0
R5117;0;1;0
R5118;0;1;1
R5119;1;0;1
R5120;1;1;1
R5121;0;0;0
R5122;0;1;0
R5123;1;0;0
R5124;1;0;1
R5125;1;0;1
R5126;0;1;1
R5127;0;1;1
R5128;0;1;1
R5129;0;1;0
R5130;1;0;1
R5131;1;0;1
R5132;1;0;1
R5133;1;0;0
R5134;0;0;1
R5135;1;1;0
R5136;1;0;1
R5137;1;0;1
R5138;1;1;0
R5139;1;1;0
R5140;0;0;0
R5141;1;0;0
R5142;0;1;1
R5143;1;1;1
R5144;0;0;1
R5145;0;1;0
R5146;0;1;0
R5147;0;0;1
R5148;1;0;0
R5149;1;0;0
R5150;1;0;1
R5151;0;1;0
R5152;1;1;0
R5153;0;0;0
R5154;1;0;1
R5155;1;1;0
R5156;1;1;1
R5157;1;1;0
R5158;0;1;1
R5159;0;1;0
R5160;1;0;0
R5161;1;1;0
R5162;1;0;0
R5163;1;0;1
R5164;1;0;1
R5165;0;0;1
R5166;1;0;0
R5167;1;0;1
R5168;1;0;1
R5169;0;1;0
R5170;0;0;0
R5171;0;0;1
R5172;0;0;1
R5173;1;1;1
R5174;1;0;0
R5175;1;0;0
R5176;1;0;0
R5177;0;1;1
R5178;1;0;0
R5179;0;1;1
R5180;0;0;0
R5181;1;1;1
R5182;1;1;1
R5183;0;1;0
R5184;1;0;0
R5185;0;1;0
R5186;1;1;0
R5187;1;1;1
R5188;0;0;1
R5189;1;0;0
R5190;1;1;1
R5191;0;1;1
R5192;1;0;1
R5193;1;1;0
R5194;0;0;1
R5195;1;1;0
R5196;1;1;1
R5197;1;0;1
R5198;0;0;0
R5199;1;1;0
R5200;0;0;0
R5201;1;0;0
R5202;1;0;0
R5203;0;0;1
R5204;0;1;0
R5205;1;1;1
R5206;0;1;0
R5207;0;0;0
R5208;1;0;0
R5209;1;1;0
R5210;1;1;0
R5211;0;1;1
R5212;1;1;0
R5213;0;0;1
R5214;0;0;1
R5215;0;1;0
R5216;1;1;0
R5217;1;0;0
R5218;1;1;0
R5219;1;0;1
R5220;1;1;0
R5221;0;0;0
R5222;0;1;1
R5223;1;1;0
R5224;0;1;0
R5225;0;1;0
R5226;1;1;0
R5227;0;1;1
R5228;0;0;0
R5229;1;0;0
R5230;1;1;1
R5231;0;0;0
R5232;1;0;1
R5233;0;1;0
R5234;1;0;0
R5235;1;0;1
R5236;0;0;1
R5237;1;1;0
R5238;0;0;0
R5239;1;1;0
R5240;1;1;1
R5241;1;0;0
R5242;1;0;1
R5243;0;1;0
R5244;0;0;0
R5245;0;1;0
R5246;1;0;1
R5247;1;0;1
R5248;0;1;1
R5249;0;1;1
R5250;1;1;1
R5251;1;1;0
R5252;1;0;1
R5253;1;1;0
R5254;1;0;0
R5255;0;1;0
R5256;1;1;0
R5257;0;0;1
R5258;0;0;1
R5259;1;1;1
R5260;0;0;0
R5261;0;0;1
R5262;0;1;1
R5263;1;1;1
R5264;1;1;1
R5265;1;0;1
R5266;1;1;1
R5267;1;0;0
R5268;1;0;0
R5269;1;0;0
R5270;1;0;0
R5271;1;0;0
R5272;0;1;0
R5273;1;1;1
R5274;0;1;1
R5275;0;1;1
R5276;1;0;0
R5277;0;0;0
R5278;0;0;1
R5279;1;0;0
R5280;0;0;0
R5281;1;1;0
R5282;1;1;1
R5283;0;0;0
R5284;0;1;0
R5285;1;0;1
R5286;0;0;0
R5287;0;0;1
R5288;1;1;1
R5289;1;1;1
R5290;0;1;0
R5291;0;0;1
R5292;1;1;1
R5293;0;0;0
R5294;1;1;1
R5295;0;1;0
R5296;0;1;0
R5297;0;1;0
R5298;1;1;1
R5299;0;1;1
R5300;1;0;1
R5301;0;0;0
R5302;0;0;1
R5303;0;1;0
R5304;1;1;0
R5305;1;1;0
R5306;1;1;1
R5307;1;0;1
R5308;1;0;1
R5309;1;1;1
R5310;0;1;1
R5311;0;0;0
R5312;1;1;1
R5313;1;1;0
R5314;0;0;0
R5315;0;0;0
R5316;0;0;0
R5317;1;0;0
R5318;0;1;0
R5319;0;1;0
R5320;0;0;0
R5321;1;0;1
R5322;0;0;1
R5323;0;1;1
R5324;0;1;1
R5325;0;1;1
R5326;0;0;0
R5327;1;0;1
R5328;1;1;0
R5329;0;0;0
R5330;1;0;1
R5331;1;1;1
R5332;0;0;0
R5333;0;0;0
R5334;1;1;1
R5335;0;0;0
R5336;1;0;1
R5337;1;0;1
R5338;1;1;1
R5339;1;0;1
R5340;1;0;0
R5341;1;0;1
R5342;1;1;1
R5343;0;0;1
R5344;1;0;0
R5345;0;1;1
R5346;1;1;1
R5347;0;0;0
R5348;1;0;0
R5349;1;0;0
R5350;0;0;0
R5351;0;0;0
R5352;1;0;1
R5353;1;0;0
R5354;0;0;0
R5355;1;1;0
R5356;0;0;1
R5357;1;1;0
R5358;0;0;0
R5359;1;1;1
R5360;1;1;0
R5361;0;1;1
R5362;0;1;0
R5363;1;0;1
R5364;0;1;0
R5365;0;0;0
R5366;0;1;1
R5367;0;0;0
R5368;1;1;1
R5369;0;0;1
R5370;1;1;1
R5371;1;1;1
R5372;1;1;0
R5373;0;0;1
R5374;1;0;1
R5375;1;1;0
R5376;0;0;0
R5377;0;1;1
R5378;0;1;1
R5379;0;1;1
R5380;0;0;1
R5381;1;0;0
R5382;0;0;1
R5383;0;1;0
R5384;0;1;0
R5385;1;0;0
R5386;1;1;0
R5387;0;1;0
R5388;0;1;1
R5389;0;1;1
R5390;0;1;1
R5391;1;1;1
R5392;0;0;0
R5393;0;1;0
R5394;1;0;1
R5395;1;0;0
R5396;0;0;0
R5397;0;1;1
R5398;1;1;0
R5399;0;1;0
R5400;0;1;0
R5401;1;0;0
R5402;1;1;0
R5403;0;0;1
R5404;1;1;1
R5405;1;1;1
R5406;1;0;1
R5407;0;1;0
R5408;0;1;0
R5409;1;0;1
R5410;0;1;1
R5411;1;0;1
R5412;0;0;1
R5413;1;1;1
R5414;1;1;1
R5415;1;1;1
R5416;0;1;1
R5417;1;0;0
R5418;0;1;0
R5419;1;1;0
R5420;1;1;1
R5421;0;1;1
R5422;0;0;0
R5423;0;0;0
R5424;1;0;0
R5425;0;0;1
R5426;1;0;1
R5427;0;0;1
R5428;0;0;0
R5429;1;0;1
R5430;1;1;1
R5431;0;0;1
R5432;0;1;0
R5433;1;1;1
R5434;0;1;0
R5435;0;0;1
R5436;0;1;0
R5437;0;1;0
R5438;0;0;1
R5439;1;1;1
R5440;1;1;1
R5441;1;1;0
R5442;0;1;1
R5443;0;0;1
R5444;1;0;0
R5445;0;0;1
R5446;0;0;1
R5447;0;0;1
R5448;1;0;1
R5449;0;1;1
R5450;1;1;0
R5451;0;0;1
R5452;1;0;0
R5453;1;0;0
R5454;0;0;0
R5455;1;1;1
R5456;0;1;0
R5457;0;1;1
R5458;1;1;0
R5459;0;1;1
R5460;1;0;1
R5461;1;1;0
R5462;1;1;0
R5463;1;1;1
R5464;0;0;1
R5465;1;0;0
R5466;0;1;0
R5467;0;0;0
R5468;1;0;1
R5469;0;0;0
R5470;0;1;0
R5471;1;1;0
R5472;0;0;1
R5473;1;0;1
R5474;0;0;1
R5475;1;1;1
R5476;1;1;0
R5477;0;0;0
R5478;1;1;1
R5479;1;0;1
R5480;1;0;0
R5481;1;1;1
R5482;1;1;1
R5483;1;0;0
R5484;0;0;0
R5485;0;0;1
R5486;1;1;0
R5487;1;1;0
R5488;1;1;0
R5489;0;1;0
R5490;1;1;0
R5491;0;1;0
R5492;1;0;0
R5493;1;1;0
R5494;0;1;1
R5495;0;1;0
R5496;0;0;1
R5497;0;0;0
R5498;0;1;1
R5499;0;0;0
R5500;1;1;0
R5501;1;1;1
R5502;0;0;1
R5503;1;1;0
R5504;0;0;0
R5505;0;0;1
R5506;1;0;1
R5507;0;1;0
R5508;1;1;0
R5509;1;0;1
R5510;1;0;0
R5511;1;1;0
R5512;0;1;0
R5513;1;1;1
R5514;1;0;1
R5515;1;1;1
R5516;1;1;1
R5517;0;1;1
R5518;0;1;0
R5519;1;1;0
R5520;1;1;0
R5521;0;1;0
R5522;1;1;0
R5523;1;1;0
R5524;0;1;1
R5525;1;0;1
R5526;1;1;1
R5527;0;1;0
R5528;0;1;1
R5529;0;1;0
R5530;1;0;1
R5531;1;0;0
R5532;1;0;1
R5533;1;1;1
R5534;1;0;0
R5535;0;0;1
R5536;0;0;1
R5537;1;1;0
R5538;0;0;1
R5539;0;1;1
R5540;1;1;1
R5541;1;0;1
R5542;0;1;0
R5543;1;0;0
R5544;0;0;1
R5545;0;1;1
R5546;1;0;0
R5547;0;1;0
R5548;0;1;1
R5549;0;0;0
R5550;1;0;1
R5551;0;0;1
R5552;0;1;1
R5553;1;0;1
R5554;1;0;0
R5555;0;1;0
R5556;1;0;1
R5557;0;1;1
R5558;1;1;1
R5559;1;1;0
R5560;1;0;1
R5561;1;1;1
R5562;1;0;1
R5563;1;1;0
R5564;1;1;0
R5565;1;1;0
R5566;1;1;0
R5567;1;1;1
R5568;0;0;0
R5569;0;0;1
R5570;0;1;1
R5571;1;1;0
R5572;1;0;1
R5573;1;0;1
R5574;1;0;1
R5575;0;0;1
R5576;1;0;1
R5577;0;0;1
R5578;1;0;0
R5579;0;1;0
R5580;0;1;1
R5581;1;1;1
R5582;0;1;0
R5583;1;1;0
R5584;0;1;1
R5585;1;0;0
R5586;0;0;1
R5587;1;1;0
R5588;0;1;1
R5589;0;1;0
R5590;1;1;1
R5591;0;0;0
R5592;1;1;0
R5593;0;0;0
R5594;1;1;1
R5595;0;0;1
R5596;1;1;0
R5597;1;1;1
R5598;0;0;0
R5599;0;1;1
R5600;1;1;1
R5601;1;0;0
R5602;1;0;1
R5603;1;0;1
R5604;0;0;0
R5605;1;1;0
R5606;1;0;0
R5607;0;0;1
R5608;1;0;1
R5609;1;1;0
R5610;0;0;0
R5611;0;1;1
R5612;0;0;0
R5613;0;1;1
R5614;1;0;0
R5615;0;1;1
R5616;0;1;1
R5617;0;1;1
R5618;0;0;1
R5619;1;1;1
R5620;0;0;0
R5621;1;0;0
R5622;0;0;0
R5623;1;1;0
R5624;0;0;1
R5625;1;1;1
R5626;0;0;1
R5627;0;1;1
R5628;0;1;1
R5629;0;1;0
R5630;0;1;0
R5631;0;0;1
R5632;0;1;1
R5633;0;0;1
R5634;1;0;0
R5635;0;0;1
R5636;1;1;0
R5637;1;1;0
R5638;1;0;1
R5639;1;1;1
R5640;0;0;1
R5641;1;1;0
R5642;1;0;1
R5643;0;1;1
R5644;0;0;1
R5645;1;1;1
R5646;1;0;1
R5647;1;0;1
R5648;1;0;0
R5649;1;1;0
R5650;0;0;0
R5651;1;1;1
R5652;1;1;1
R5653;0;0;0
R5654;1;1;0
R5655;0;1;0
R5656;0;0;0
R5657;1;1;0
R5658;0;1;1
R5659;1;1;0
R5660;0;0;1
R5661;1;1;0
R5662;1;0;1
R5663;0;0;0
R5664;1;1;0
R5665;0;1;1
R5666;1;0;1
R5667;1;1;0
R5668;1;0;0
R5669;0;1;0
R5670;0;0;0
R5671;0;1;1
R5672;1;0;1
R5673;0;1;1
R5674;0;0;1
R5675;0;1;0
R5676;1;1;0
R5677;0;1;0
R5678;1;0;1
R5679;0;0;1
R5680;1;0;0
R5681;0;0;0
R5682;0;1;1
R5683;1;1;0
R5684;1;1;1
R5685;1;0;1
R5686;1;1;0
R5687;1;0;1
R5688;0;0;0
R5689;0;1;0
R5690;1;0;0
R5691;0;1;1
R5692;1;0;0
R5693;0;0;1
R5694;1;1;1
R5695;1;0;1
